stn,n_joined,n_surge
ballen-bal-dnk-cmems,65773,239943
baltimore-8574680-usa-noaa,179553,992362
baltra-003b-ecu-uhslc,137212,263249
bamfield_bc-8545-can-meds,184572,441228
bangor-ban-gbr-cmems,151165,184798
bar_harbor-8413320-usa-noaa,596566,596566
bar_point_ontario-12005-can-meds,472656,472656
barcelona-bar-esp-cmems,235543,235543
bari-bar-ita-ispra,259248,259248
barmouth-bar-gbr-bodc,166894,167063
barmouth-bar-gbr-cmems,206109,206109
barseback-bar-swe-cmems,69826,251466
base_prat-730a-chl-uhslc,26233,157993
batemans_bay_princess_jetty-216410-aus-bom,197030,197030
bath-bath-nld-rws,417930,417930
batiscan-3345-can-meds,603434,715350
bay_waveland_yacht_club-8747437-usa-noaa,275865,275865
bayonne_boucau-94-fra-refmar,369524,369524
beaufort-8656483-usa-noaa,74250,409651
becancour-3353-can-meds,71010,242655
beldon_landing-bdl-usa-cdwr,163123,256189
bella_bella_bc-8976-can-meds,183601,512433
belum-1263-deu-wsv,147377,166447
benoa-163a-idn-uhslc,19721,97591
bergen-bgo-nor-nhs,183433,828086
bergen_point_west_reach-8519483-usa-noaa,183791,328796
bergse_diepsluis_west-bergsdswt-nld-rws,163666,253879
bermagui-219470-aus-bom,175023,265292
berwick-8764044-usa-noaa,64697,151787
bhv_alter_leuchtturm-4098-deu-wsv,176543,224728
bilbao-bil-esp-cmems,183166,248599
bintulu-387a-mys-uhslc,114756,178978
bishops_head-8571421-usa-noaa,95524,136702
bluff-072a-nzl-uhslc,153731,199713
bodo-boo-nor-nhs,112388,530019
bonanza-bon-esp-cmems,181058,244134
booby_island-336a-aus-uhslc,162095,254968
borkum_fischerbalje-bor-deu-bfg,182842,203663
boston-8443970-usa-noaa,117897,867737
botany_bay-60390-aus-bom,173045,301259
bournemouth-bou-gbr-bodc,119847,150796
bowen-59320-aus-bom,174037,285873
brake-4096-deu-wsv,176579,220568
bremer_bay-bbbre01-aus-bom,164606,175011
bremervorde-71-deu-wsv,141685,160488
brest-822a-fra-uhslc,165842,1390242
bridgeport-8467150-usa-noaa,184614,439627
brisbane-331a-aus-uhslc,161588,301260
brisbane_bar-59980-aus-bom,174143,415048
brockville_ontario-14400-can-meds,185362,349928
brokdorf-72-deu-wsv,182215,201308
broome-166a-aus-uhslc,162452,254774
brouwershavensche_gat_08-brouwhvsgt08-nld-rws,162793,338050
brunsbuttel_mole_4_pegel-73-deu-wsv,86834,105799
brunswick_heads-202403-aus-bom,168224,277144
bryte_lab-byl-usa-cdwr,177808,316011
buenos_aires-285a-arg-uhslc,187059,483392
buffalo_ny-9063020-usa-noaa,534713,537366
bunbury-62190-aus-bom,101306,456599
bundaberg-332a-aus-uhslc,297721,303247
bundaberg_burnett_heads-59820-aus-bom,457102,457102
burlington_ontario-13150-can-meds,425197,425197
burnie-344a-aus-uhslc,227943,227943
busselton_port_geographe-bsgeo01-aus-bom,91052,152180
cabo_san_lucas-034-mex-unam,208046,209787
cabo_san_lucas-034a-mex-uhslc,215026,215026
caddadup-dvcad01-aus-bom,214960,214960
cadzand-cadzd-nld-rws,417866,417866
cagliari-cag-ita-ispra,155878,225938
cairns-59060-aus-bom,394616,402423
calais-55-fra-refmar,163155,371346
calcasieu_pass-8768094-usa-noaa,152818,152818
callao-093b-per-uhslc,144082,406933
calumet_harbor_il-9087044-usa-noaa,118508,438702
cambridge-8571892-usa-noaa,73175,353024
cananeia-281a-bra-uhslc,56153,457094
cape_ferguson-343a-aus-uhslc,159426,234403
cape_ferguson-h033007a-aus-bom,173334,208296
cape_hatteras_fishing_pier-8654400-usa-noaa,8651,190895
cape_may-8536110-usa-noaa,75417,444334
cape_town-704a-zaf-uhslc,81188,290051
cape_vincent_ny-9052000-usa-noaa,186870,469490
cardwell-h035012a-aus-bom,172086,205350
carloforte-car-ita-ispra,183897,188610
carnarvon-167a-aus-uhslc,163120,266193
cartagena-265b-col-uhslc,113808,162122
cascais-209a-prt-uhslc,45416,362735
castletownbere_port-cas-irl-mi_c,122216,122216
catania-cat-ita-ispra,183099,333384
cebu-379a-phl-uhslc,98444,115763
cendering-320a-mys-uhslc,34049,262892
ceuta-207a-esp-uhslc,156598,622209
chaleix_noumea-16-fra-refmar,46968,326161
charchanga-138a-bgd-uhslc,8725,178305
charleston_or-575a-usa-uhslc,166343,393208
charleston_sc-261b-usa-uhslc,166491,839884
charlotte_amalie-9751639-usa-noaa,64764,341368
charlottetown-1700-can-meds,175301,791591
cherbourg_60minute-che-fra-cmems,179494,405049
cherry_point-9449424-usa-noaa,186978,408510
chesapeake_bbt-749a-usa-uhslc,78292,363441
chesapeake_city-8573927-usa-noaa,65908,238434
chiba-hd06-jpn-jodc_jcg,102733,480763
chichijima-047a-jpn-uhslc,61177,381884
choshigyoko-ma64-jpn-jodc_jma,159991,388979
christiansted_harbor-9751364-usa-noaa,53558,130129
churchill-274a-can-uhslc,166012,462351
civitavecchia-civ-ita-ispra,182623,273487
clearwater_bch_fl-773a-usa-uhslc,159912,195122
cleveland_oh-9063063-usa-noaa,188851,450430
clump_point-59168-aus-bom,171631,294115
coast_guard_sector_mobile-8736897-usa-noaa,55556,119878
cobourg_ontario-13590-can-meds,184841,517056
cocos-171a-aus-uhslc,162655,276222
coffs_harbour-205470-aus-bom,155106,183051
collingwood_ontario-11500-can-meds,72186,517391
colonial_beach-8635150-usa-noaa,33777,281346
concarneau-160-fra-refmar,181249,185707
conimicut_light-8452944-usa-noaa,177008,178065
contrecoeur_ioc-15780-can-meds,110591,227660
cooktown-h066003a-aus-bom,163580,163580
cordemais_60minute-cor-fra-cmems,167158,279661
cordova-9454050-usa-noaa,187133,370957
cornwall_ontario-14870-can-meds,71881,511510
corpus_cristi_tx-770a-usa-uhslc,166509,294954
coruna-cor-esp-cmems,176038,240721
cranz-76-deu-wsv,175602,193152
crescent_city_ca-556a-usa-uhslc,61365,688483
cristobal-266a-pan-uhslc,137053,900133
cromer-cro-gbr-bodc,140817,234943
crookhaven_heads-215408-aus-bom,91983,222137
crotone-cro-ita-ispra,167714,215989
cruz-cruz-esp-ieo,117197,423224
culebra-9752235-usa-noaa,85611,107366
cutler_naval_base-8411250-usa-noaa,25198,253467
cuxhaven-825a-deu-uhslc,166250,884493
cuxhaven_steubenhoft-77-deu-wsv,181988,201134
dakar-223e-sen-uhslc,127310,185385
darwin-168a-aus-uhslc,166177,302017
daugavgriva-dau-lva-cmems,106483,106483
dauphin_island_al-763a-usa-uhslc,144167,289217
davao-372b-phl-uhslc,125764,131991
davis-173a-aus-uhslc,78372,136146
de_tour_village_mi-9075099-usa-noaa,188195,381877
deal_pier-dlp-gbr-cco,126503,126503
delaware_city-8551762-usa-noaa,166573,166573
delfzijl-delfzl-nld-rws,163534,417822
den_helder-denhdr-nld-rws,163661,417741
deschaillons-3335-can-meds,183852,499932
devonport-60930-aus-bom,128108,258555
diego_garcia-104d-gbr-uhslc,119824,119824
dieppe_60minute-die-fra-cmems,137848,423443
discovery_bay_at_discovery_bay_blv-dbd-usa-cdwr,159200,161326
donges_60minute-don-fra-cmems,92035,220551
dordrecht-dordt-nld-rws,163706,417821
dover-dov-gbr-bodc,125505,506532
drogden-dro-dnk-cmems,170614,234438
dry_dock_mi-9014087-usa-noaa,187567,443899
dublin_port-dub-irl-mi_c,123751,123870
duck_pier_nc-260a-usa-uhslc,164802,351315
duluth_mn-9099064-usa-noaa,188950,451814
dunkerque-2-fra-refmar,183233,456004
durban-181a-zaf-uhslc,120646,281214
dutch_harbor_ak-041b-usa-uhslc,60693,315437
dwarsgat-4100-deu-wsv,176504,224681
east_london-187a-zaf-uhslc,104944,258824
easter-022c-chl-uhslc,91376,362407
eastport_me-740a-usa-uhslc,165350,733036
eden-60530-aus-bom,169748,320892
eemshaven-eemshvn-nld-rws,163405,347440
elfin_cove-9452634-usa-noaa,61258,139397
elhierro-elh-esp-cmems,142797,142797
elmshorn-78-deu-wsv,130935,141529
elsfleth-4102-deu-wsv,176574,220552
erieau_ontario-12250-can-meds,185508,514861
esashiko-0140-jpn-jodc_pahb,168351,303890
esbjerg-esb-dnk-dmi,173422,588030
esmeraldas-098a-ecu-uhslc,104051,187772
esperance-176a-aus-uhslc,162288,292426
esperanza-9752695-usa-noaa,121651,121651
essexville_mi-9075035-usa-noaa,188412,383105
euro_platform-eurpfm-nld-rws,150223,150223
exmouth-62435-aus-bom,101905,218367
fahrenholz_up-79-deu-wsv,162798,176808
fairport_oh-9063053-usa-noaa,189069,398637
faraday-700a-ata-uhslc,94876,399544
farge-4104-deu-wsv,176562,220551
felixstowe-fel-gbr-cmems,79942,166222
fermi_power_plant_mi-9063090-usa-noaa,188599,443421
fernandina_beach-8720030-usa-noaa,184934,932108
ferrol-fer-esp-cmems,117309,117309
ferrol2-fer-esp-cmems,120949,120949
fishermans_landing-h052003b-aus-bom,108394,113369
fishguard-fis-gbr-bodc,80144,435243
flores_santa_cruz-210a-prt-uhslc,33944,168527
foglo_degerby-134252-fin-fmi,116646,439970
forsmark-for-swe-cmems,112846,393401
forster-209402-aus-bom,158162,251839
fort_denison-333a-aus-uhslc,164814,451765
fort_myers-8725520-usa-noaa,182356,430079
fort_point-8423898-usa-noaa,126357,126357
fort_pulaski-8670870-usa-noaa,186924,720506
fort_wayne_mi-9044036-usa-noaa,188349,449550
fos_sur_mer-719-fra-refmar,89946,89946
fredericia-fre-dnk-cmems,136694,136694
frederikshavn-fre-dnk-cmems,60225,137205
fremantle-175a-aus-uhslc,136173,275254
french_frigate-014a-usa-uhslc,53436,270588
friday_harbor-9449880-usa-noaa,117650,738803
fuerteventura-fue-esp-cmems,146393,146393
fukaura-ma57-jpn-jodc_jma,164238,391670
fukue-ma50-jpn-jodc_jma,174772,461036
funafuti-67440-tuv-bom,166058,224978
funchal-218b-prt-uhslc,114854,246624
furuogrund-2055-swe-smhi,165246,832620
fushikitoyamako-0107-jpn-jodc_pahb,162182,162182
fynshav-fyn-dnk-cmems,49647,116842
galets_60minute-gal-fra-cmems,156359,267769
galveston_bay_entrance-8771341-usa-noaa,152843,154414
galveston_pier_21-775a-usa-uhslc,160643,970104
galveston_ppier-767a-usa-uhslc,99710,455525
galway_port-gal-irl-mi_c,121069,121069
gan-109a-mdv-uhslc,166210,261223
gandia-gan-esp-cmems,77007,115884
gedser-837a-dnk-uhslc,110229,989186
geelong-60770-aus-bom,97841,402046
genova-gen-ita-ispra,165740,170277
geraldton-62290-aus-bom,172319,471358
geting-326a-mys-uhslc,139250,252439
gibraltar-289a-gbr-uhslc,65009,289605
gibraltar_mi-9044020-usa-noaa,189016,450685
gijon-gij-esp-cmems,180767,219047
gladstone-59750-aus-bom,168010,351818
gloucester_point-8637624-usa-noaa,8726,227615
gluckstadt-80-deu-wsv,182272,201312
gobo-ma68-jpn-jodc_jma,125517,125517
goderich_ontario-11860-can-meds,184273,762088
goidschalxoord-goidsod-nld-rws,163678,419121
gold_coast_southport-60051-aus-bom,69843,176845
gomera-gom-esp-cmems,118859,118859
goods_island-58200-aus-bom,165394,259328
goteborgorsh-819a-swe-uhslc,34755,408250
gouda_brug-goudbg-nld-rws,163742,325871
grand_isle_la-765a-usa-uhslc,92145,331863
grauerort-81-deu-wsv,182340,201483
green_bay_wi-9087079-usa-noaa,178414,351110
greifswald_wiek-gre-deu-bfg,68648,205673
grena-gre-dnk-cmems,170643,246607
groote_eylandt-145a-aus-uhslc,164497,218895
gros_cap_ontario-10920-can-meds,71996,500959
hachijyojima-hd11-jpn-jodc_jcg,104544,543783
hachinohe-375a-jpn-uhslc,95774,270100
hagestein_beneden-hagsbndn-nld-rws,163733,417822
hakata-hd18-jpn-jodc_jcg,70094,471185
hakodate-364a-jpn-uhslc,164106,447805
halifax-490-can-meds,116217,830806
hamada-ma66-jpn-jodc_jma,170837,305036
hamina-ham-fin-cmems,173601,423599
hamina_pitajansaari-134254-fin-fmi,71937,433239
hammerfest-hft-nor-nhs,179982,494937
hanasaki-ma03-jpn-jodc_jma,171548,459935
hanimaadhoo-117b-mdv-uhslc,131452,131452
hanko_pikku_kolalahti-134253-fin-fmi,184828,434128
hansweert-hanswt-nld-rws,163718,417916
harbor_beach_mi-9075014-usa-noaa,74876,451315
harburg-3341-deu-wsv,182202,183841
haringvliet_10-harvt10-nld-rws,163767,306928
harrisville_mi-9075059-usa-noaa,68088,312433
harstad-har-nor-nhs,182044,560210
harvest_oil_p_ca-594a-usa-uhslc,133230,152628
harvey-dvhar01-aus-bom,146154,232587
havre_de_grace-8574070-usa-noaa,0,121293
hay_point-59511-aus-bom,173612,302539
hechthausen-83-deu-wsv,139353,158462
heimsjo-hei-nor-nhs,179637,749039
helgeroa-hro-nor-nhs,181062,360654
helgoland-84-deu-wsv,181946,201274
helsinki_kaivopuisto-132310-fin-fmi,182965,429382
herne_bay-hby-gbr-cco,166974,194475
hesnaes-hes-dnk-cmems,87279,155114
hetlingen-4876-deu-wsv,182345,201426
heysham-hey-gbr-bodc,146036,402117
hillarys-62237-aus-bom,172596,245209
hilo_hawaii-060a-usa-uhslc,61317,673151
hinkley_point-hin-gbr-bodc,155181,238636
hirarako-0151-jpn-jodc_pahb,145874,145874
hiron_point-134a-bgd-uhslc,34420,234278
hiroshima-hd14-jpn-jodc_jcg,171690,581173
hobart-339a-aus-uhslc,58847,252090
hobart-61220-aus-bom,151893,424194
hoek_van_holland-hoekvhld-nld-rws,163764,426704
holland_cut_near_bethel_island-hol-usa-cdwr,51387,124331
holland_mi-9087031-usa-noaa,181170,424854
holwerd-holwd-nld-rws,56152,300822
holyhead-hol-gbr-bodc,103053,366590
honiara-009b-slb-uhslc,159386,209570
honningsvag-801a-nor-uhslc,34750,218395
honolulu_hawaii-057b-usa-uhslc,166557,985054
hornbaek-hor-dnk-cmems,67071,243503
hovell_pile-60721-aus-bom,168046,237217
huelva-hue-esp-cmems,70392,212006
huibertgat-huibgt-nld-rws,163590,399987
humboldt_bay_ca-576a-usa-uhslc,165729,356546
i_295_bridge-8720357-usa-noaa,69577,129165
ibis-ibs-usa-cdwr,141923,154911
ibiza-ibi-esp-cmems,149825,149825
ijmuiden_buitenhaven-ijmdbthvn-nld-rws,163762,330264
ilfracombe-ilf-gbr-bodc,146649,295434
ilha_fiscal_rj-280a-bra-uhslc,34933,424191
immingham-imm-gbr-bodc,136070,473268
ince_point-58140-aus-bom,168522,268763
irouzaki-ma78-jpn-jodc_jma,167094,192735
ishigaki-ma45-jpn-jodc_jma,172581,442966
ishikariko-0145-jpn-jodc_pahb,41898,183078
ito-gs19-jpn-jodc_giaj,102255,394761
itzehoe-87-deu-wsv,138268,156945
iwanaiko-0137-jpn-jodc_pahb,98679,299584
izuhara-hd23-jpn-jodc_jcg,174411,583614
jackson_bay-65180-nzl-bom,86613,185190
jakarta-161a-idn-uhslc,29697,111768
jervis_bay-216470-aus-bom,161775,243473
johnston_atoll-1619000-usa-noaa,21721,227205
johor_baharu-321a-mys-uhslc,32075,248976
juan_fernandez-021b-chl-uhslc,52015,257902
juelsminde-jue-dnk-cmems,164881,183710
juneau-9452210-usa-noaa,118453,364375
jurien_bay-jujur01-aus-bom,170610,245313
juten_sjov-35101-swe-smhi,102034,102034
kabelvag-kab-nor-nhs,69566,273665
kagoshima-ma42-jpn-jodc_jma,174916,455324
kahului-1615680-usa-noaa,188154,551993
kainan-gs05-jpn-jodc_giaj,174935,568651
kalix_storon-2157-swe-smhi,62988,359328
kamaishi-hd05-jpn-jodc_jcg,93835,537273
kanazawako-0105-jpn-jodc_pahb,157170,157170
kanton-013b-kir-uhslc,113026,339049
kaohsiung-340a-chn-uhslc,42578,308454
kapingamarangi-029a-fsm-uhslc,46591,293056
kariya-gs17-jpn-jodc_giaj,57028,401202
karumba-63580-aus-bom,171501,287100
kashimako-0101-jpn-jodc_pahb,102249,189607
kashiwazaki-gs08-jpn-jodc_giaj,171001,525830
kaskinen-kas-fin-cmems,173597,418945
katsuura-gs11-jpn-jodc_giaj,172368,453812
kawaihae-552a-usa-uhslc,163369,241793
keelung-341a-chn-uhslc,113732,279073
keizersveer-keizvr-nld-rws,58278,355207
kelang-140a-mys-uhslc,62508,266025
keling-141a-mys-uhslc,135814,266850
kemi_ajos-100539-fin-fmi,174295,398934
kerguelen-180a-fra-uhslc,34362,170823
ketchikan_ak-571a-usa-uhslc,166022,673670
key_west_fl-242a-usa-uhslc,96002,907517
kielholtenau-kie-deu-cmems,129767,129767
killybegs_port-kil-irl-mi_c,79467,116783
king_cove-9459881-usa-noaa,136557,139083
kings_point-8516945-usa-noaa,188504,198613
kingston_ontario-13988-can-meds,185460,536523
kingsville_ontario-12065-can-meds,185801,510935
kinlochbervie-kin-gbr-bodc,59020,219126
kiptopeke-8632200-usa-noaa,187931,383507
klagshamn-kla-swe-cmems,69791,771088
knysna-186a-zaf-uhslc,114767,294811
ko_lak-328a-tha-uhslc,158453,284209
ko_taphao_noi-148a-tha-uhslc,162944,292152
kobe-ma31-jpn-jodc_jma,70090,473148
kobenhavn-kob-dnk-cmems,133078,133247
kochi-ma38-jpn-jodc_jma,158948,403577
kodiak_island-9457292-usa-noaa,117684,321059
kolka-kol-lva-cmems,63755,105702
kollmar-88-deu-wsv,182051,201150
komatsushima-ma36-jpn-jodc_jma,105041,467776
kornwerderzand_buiten-kornwdzbtn-nld-rws,163487,417192
korsor-kor-dnk-cmems,135471,135640
koserow-kos-deu-cmems,76884,114283
kota_kinabalu-386a-mys-uhslc,123407,230722
kozushima-hd09-jpn-jodc_jcg,171738,444514
krammersluizen_west-krammszwt-nld-rws,163724,260076
krautsand-89-deu-wsv,182336,201403
kreekrak_noord-kreekrnd-nld-rws,127243,344344
krimpen_ad_ijssel-krimpadijsl-nld-rws,163734,417754
krimpen_ad_lek-krimpadlk-nld-rws,163695,417696
kristiansund-ksu-nor-nhs,179065,570782
kronstadt-kro-rus-cmems,105723,105723
kruckau_sperrwerk_bp-90-deu-wsv,181542,191929
kuantan-322a-mys-uhslc,33911,276797
kuchinotsu-ma48-jpn-jodc_jma,103400,443558
kujiko-0111-jpn-jodc_pahb,58488,143507
kukup-325a-mys-uhslc,137641,258442
kumano-ma65-jpn-jodc_jma,54380,124920
kungsholmsfort-2088-swe-smhi,114563,1138511
kungsvik-kun-swe-cmems,112685,412322
kure-gs13-jpn-jodc_giaj,104826,413447
kure-hd13-jpn-jodc_jcg,70106,507592
kurihamako-0161-jpn-jodc_pahb,158399,158399
kushimoto-353a-jpn-uhslc,93496,494859
kushiro-350a-jpn-uhslc,59750,470264
kutsugatako-0129-jpn-jodc_pahb,142396,276288
kwajalein-1820000-usa-noaa,184128,393320
la_jolla_ca-554a-usa-uhslc,154708,776598
la_libertad-091a-ecu-uhslc,159570,588548
la_push-9442396-usa-noaa,148947,148947
lac_saint_pierre-15975-can-meds,69191,486970
lagos_algarve-723a-prt-uhslc,0,90230
lakes_entrance_inner_bullock_island-6057a-aus-bom,105820,293488
lameshur_bay-9751381-usa-noaa,125690,125690
lampedusa-lam-ita-ispra,185166,192409
lamu-149b-ken-uhslc,161416,200928
landsort-2073-swe-smhi,17394,1044728
landsort_norra-2507-swe-smhi,143912,143912
langkawi-142a-mys-uhslc,156930,279476
lapalma-lap-esp-cmems,108693,108693
las_palmas-217d-esp-uhslc,148274,224133
lautoka-402a-fji-uhslc,165592,227370
lauwersoog-lauwog-nld-rws,163572,417497
lauzon-3250-can-meds,111369,863421
lawma-8764227-usa-noaa,133937,133937
le_conquet-152-fra-refmar,65949,422521
le_crouesty-185-fra-refmar,139135,141391
legaspi-371a-phl-uhslc,67939,254077
lehavre_60minute-leh-fra-cmems,175905,434535
leith-lei-gbr-bodc,53762,249324
lepellerin_60minute-lep-fra-cmems,169513,283885
lerwick-293a-gbr-uhslc,120743,472310
lessablesdolonne_60minute-les-fra-cmems,171678,260806
leuchtturm_alte_wese-4094-deu-wsv,176383,224498
lewes-8557380-usa-noaa,187562,675804
lewisetta-8635750-usa-noaa,114265,377305
liberty_island_rd2068-lir-usa-cdwr,179551,199385
lichteiland_goeree-lichtelgre-nld-rws,149625,149625
lime_tree_bay-9751401-usa-noaa,114637,316873
little_current_ontario-11195-can-meds,181120,514477
liverpool_gladstone_dock-liv-gbr-bodc,139828,209065
livorno-liv-ita-ispra,186002,307740
lobos_de_afuera-084a-per-uhslc,35813,268426
lombrum-56130-png-bom,166236,204587
long_sault_dam-14805-can-meds,0,178122
longview-9440422-usa-noaa,168392,168392
lord_howe-399b-aus-uhslc,157906,233595
lord_howe_island-57720-aus-bom,167310,368198
lorne-60790-aus-bom,165134,225819
los_angeles_ca-567a-usa-uhslc,166555,824584
low_head-60948-aus-bom,110398,110398
lower_escuminac-2000-can-meds,178896,393151
lower_iroquois_ontario-14602-can-meds,114173,504108
lowestoft-low-gbr-cmems,177139,261366
lucinda_offshore-59200-aus-bom,169712,296725
luderitz-702a-zaf-uhslc,58931,336950
ludington_mi-9087023-usa-noaa,186052,449368
luhort-91-deu-wsv,182987,202003
lumut-143a-mys-uhslc,135747,263783
lymington-lym-gbr-cco,111217,111217
lyttelton-667a-nzl-uhslc,159463,209015
maassluis-maasss-nld-rws,163721,417768
mackay_outer_harbour-59510-aus-bom,173915,406294
mackinaw_city_mi-9075080-usa-noaa,188535,448021
macquarie_is-680c-aus-uhslc,53552,85941
madeira-715a-bra-uhslc,34750,112530
magueyes_island-9759110-usa-noaa,70258,518625
maisaka-356a-jpn-uhslc,94947,431143
maizuru-hd24-jpn-jodc_jcg,67527,500959
maizuru-ma55-jpn-jodc_jma,169530,431859
majuro-67680-mhl-bom,170454,230005
makurazaki-ma43-jpn-jodc_jma,104648,458428
malaga-mal-esp-cmems,182566,247084
malakal-007b-plw-uhslc,164010,419471
male_hulule-108b-mdv-uhslc,151969,234064
malin_head-834a-irl-uhslc,17090,363158
maloy-may-nor-nhs,181894,615888
mandurah_fishermans_jetty-mhman01-aus-bom,17255,136892
manila-370a-phl-uhslc,114509,250216
manta-089b-ecu-uhslc,87763,158747
manzanillo-395b-mex-uhslc,114489,157973
marblehead_oh-9063079-usa-noaa,182978,433524
marquette_cg_mi-9099018-usa-noaa,188324,363629
marsden_point-398a-nzl-uhslc,162884,318396
marseille-824a-fra-uhslc,84797,899257
martinez-mrz-usa-cdwr,180159,227287
marviken-2076-swe-smhi,172766,479839
marysville_mi-9014084-usa-noaa,0,158269
masirah-113a-omn-uhslc,52437,166158
matarani-094b-per-uhslc,145534,204767
matsumaeko-0121-jpn-jodc_pahb,169772,304871
matsuyama-ma34-jpn-jodc_jma,69771,506847
mawson-177a-aus-uhslc,50816,144509
mayport_ferry_depot-8720220-usa-noaa,0,630381
mckay_bay_entrance-8726667-usa-noaa,155370,174730
melbourne_williamstown-60780-aus-bom,171558,467634
melilla-mel-esp-cmems,111264,111264
melville_bay_gove_harbour-63480-aus-bom,57359,254123
menominee_mi-9087088-usa-noaa,137550,137550
mera-352a-jpn-uhslc,58967,446935
michipicoten_ontario-10750-can-meds,183652,511822
midway-050a-usa-uhslc,92597,592885
mikuni-gs12-jpn-jodc_giaj,67335,440240
milford_haven-mha-gbr-bodc,90407,379253
millport-mil-gbr-bodc,154315,306126
milner_bay_groote_eylandt-63511-aus-bom,168268,330949
milwaukee_wi-9087057-usa-noaa,189049,449131
mina_sulman-182a-bhr-uhslc,29154,176832
minamiizu-hd12-jpn-jodc_jcg,69738,377210
minamitorishima-049a-jpn-uhslc,87521,179245
miri-388a-mys-uhslc,76833,120191
misumi-ma46-jpn-jodc_jma,113974,445481
miyakejima-357a-jpn-uhslc,164257,473721
miyakeshima-ma71-jpn-jodc_jma,159929,184216
miyako-ma09-jpn-jodc_jma,137598,432134
miyazakiko-0113-jpn-jodc_pahb,98649,159202
moerdijk-moerdk-nld-rws,57681,413920
moji-hd17-jpn-jodc_jcg,72283,430840
mokelumne_r_at_bensons_ferry_nr_thorton-ben-usa-cdwr,182077,329913
mokuoloe-1612480-usa-noaa,187449,347142
mombasa-101a-ken-uhslc,122227,214724
mona_island-9759938-usa-noaa,119848,119848
monbetsu-hd01-jpn-jodc_jcg,17283,437276
money_point-8639348-usa-noaa,116914,202740
montauk-8510560-usa-noaa,174943,593248
monterey_ca-555a-usa-uhslc,166542,394058
montreal_jetee_1-15520-can-meds,178428,849278
mooloolaba-59950-aus-bom,175301,295900
morgans_point-8770613-usa-noaa,186234,240429
morrisburg_ontario-14660-can-meds,180217,250060
mossel_bay-185a-zaf-uhslc,121750,348681
motril-mot-esp-cmems,139423,139423
mourilyan_harbour-59140-aus-bom,105172,301776
mtl_rue_frontenac-15540-can-meds,177932,483525
mumbles-mum-gbr-bodc,104485,153484
muroran-hd03-jpn-jodc_jcg,71500,354425
murotomisaki-ma37-jpn-jodc_jma,69166,433411
mutsuogawara-0110-jpn-jodc_pahb,157032,157032
nagasaki-362a-jpn-uhslc,166376,297808
nagoya-ma22-jpn-jodc_jma,171057,516733
naha-355a-jpn-uhslc,165936,457778
nakano_shima-345a-jpn-uhslc,165397,302735
nanaoko-0106-jpn-jodc_pahb,161963,161963
nantes_usine_brulee-399-fra-refmar,173722,279886
nantucket_island-8449130-usa-noaa,74278,476450
napier-668a-nzl-uhslc,95611,225007
naples_fl-757a-usa-uhslc,160065,458355
