name,lat,lon,cluster,source,max_abs
brest-822a-fra-uhslc,48.383,-4.495,862,uhslc,1.54802445585687
brest_60minute-bre-fra-cmems,48.3829,-4.4951,862,cmems,1.6507854376883295
bridgeport-8467150-usa-noaa,41.1733,-73.1817,1087,noaa,2.7255492470125118
brisbane-331a-aus-uhslc,-27.367,153.167,404,uhslc,0.8198930185373379
brisbane_bar-59980-aus-bom,-27.3608,153.1719,404,bom,0.7949645951077672
britannia_ontario-16125-can-meds,45.36,-75.81,211,meds,0.5663877648799563
brockville_ontario-14400-can-meds,44.59,-75.68,247,meds,0.5998965129687936
brokdorf-72-deu-wsv,53.8627,9.316,1141,wsv,3.822291587217879
broome-166a-aus-uhslc,-18.002,122.218,1022,uhslc,2.224709458818782
broome-62650-aus-bom,-18.0008,122.2186,1022,bom,2.243768388353262
brouwershavensche_gat_08-brouwhvsgt08-nld-rws,51.7508,3.8115,1101,rws,2.8360630357474483
brunsbuttel_mole_4_pegel-73-deu-wsv,53.8875,9.1258,1135,wsv,3.615572232291343
brunswick_heads-202403-aus-bom,-28.5368,153.5521,702,bom,1.2133479207523272
bryte_lab-byl-usa-cdwr,38.6001,-121.5395,1132,cdwr,3.541454204031382
buenaventura-085a-col-uhslc,3.89,-77.062,1145,uhslc,3.941669758178791
buenos_aires-285a-arg-uhslc,-34.667,-58.5,1154,uhslc,4.1307478067678725
buffalo_ny-9063020-usa-noaa,42.8774,-78.8905,1040,noaa,2.3682398341465443
bunbury-62190-aus-bom,-33.3234,115.66,724,bom,1.2518462733898337
bundaberg-332a-aus-uhslc,-24.767,152.38,1073,uhslc,2.598381979551052
bundaberg_burnett_heads-59820-aus-bom,-24.7667,152.3833,1073,bom,2.5963443409287885
burghsluis-burghss-nld-rws,51.6758,3.7564,989,rws,2.0387577832160746
burlington_ontario-13150-can-meds,43.3,-79.79,217,meds,0.5727941212204818
burnie-344a-aus-uhslc,-41.05,145.915,321,uhslc,0.6937201810736695
burnie-60910-aus-bom,-41.0528,145.9111,321,bom,1.552979601418766
busselton_port_geographe-bsgeo01-aus-bom,-33.6304,115.3944,453,bom,0.855185714191237
cabo_san_lucas-034-mex-unam,22.88,-109.9083,230,unam,0.5805231654261706
cabo_san_lucas-034a-mex-uhslc,22.88,-109.908,230,uhslc,0.5805231654261706
caddadup-dvcad01-aus-bom,-32.6094,115.6431,199,bom,0.5611777119835082
cadzand-cadzd-nld-rws,51.3793,3.3763,1062,rws,2.488313249602768
cagliari-cag-ita-ispra,39.2102,9.1143,96,ispra,0.4394173969557317
cairns-59060-aus-bom,-16.9267,145.78,515,bom,0.9239871835279704
calais-55-fra-refmar,50.9694,1.8677,1024,refmar,2.235788648972965
calais_60minute-cal-fra-cmems,50.9695,1.8677,1024,cmems,2.2359953234086145
calcasieu_pass-8768094-usa-noaa,29.7682,-93.3429,1092,noaa,2.778704950566314
caldera-088a-chl-uhslc,-27.067,-70.833,40,uhslc,0.3217515446485879
callao-093a-per-uhslc,-12.05,-77.15,539,uhslc,0.959059939562412
