name,lat,lon,cluster,source,country,max_abs
bella_bella_bc-8976-can-meds,52.16,-128.14,446,meds,can,0.8407868574581288
tofino_bc-8615-can-meds,49.15,-125.91,447,meds,can,0.8419964830171212
port_nolloth-701a-zaf-uhslc,-29.25,16.867,448,uhslc,zaf,0.8425154680487364
port_tudy-71-fra-refmar,47.6443,-3.4459,449,refmar,fra,0.8435206603065383
key_west_fl-242a-usa-uhslc,24.553,-81.808,450,uhslc,usa,0.8453904687200346
mina_sulman-182a-bhr-uhslc,26.233,50.6,451,uhslc,bhr,0.8526397301556058
steveston_bc-7607-can-meds,49.13,-123.18,452,meds,can,0.8535492153642525
busselton_port_geographe-bsgeo01-aus-bom,-33.6304,115.3944,453,bom,aus,0.855185714191237
plymouth-ply-gbr-cmems,50.3684,-4.1852,454,cmems,gbr,0.8559147313537371
oskarshamn-2085-swe-smhi,57.275,16.4781,455,smhi,swe,0.8562380330223558
kure-gs13-jpn-jodc_giaj,33.3336,133.2433,456,jodc_giaj,jpn,0.8564514046698105
harstad-har-nor-nhs,68.8013,16.5482,457,nhs,nor,0.8566772613417879
san_joaquin_r_at_brandt_bridge-bdt-usa-cdwr,37.865,-121.3231,458,cdwr,usa,0.8570286891205233
vigo-208a-esp-uhslc,42.233,-8.733,459,uhslc,esp,0.8570583546752897
cote_ste_catherine-15450-can-meds,45.41,-73.57,460,meds,can,0.8578025205746708
point_lonsdale-60730-aus-bom,-38.2919,144.6139,461,bom,aus,0.8592039494117462
turku_ruissalo_saaronniemi-134225-fin-fmi,60.43,22.1,462,fmi,fin,0.8595928293175561
wellington-071a-nzl-uhslc,-41.283,174.783,463,uhslc,nzl,0.8608553082653627
forsmark-for-swe-cmems,60.4086,18.2108,464,cmems,swe,0.8625309417683013
lachine-15390-can-meds,45.43,-73.67,465,meds,can,0.8629500638525516
friday_harbor-9449880-usa-noaa,48.5453,-123.0129,466,noaa,usa,0.863309513858159
imperia-imp-ita-ispra,43.8783,8.0189,467,ispra,ita,0.8633139365359319
thursday_island-58170-aus-bom,-10.5863,142.2216,468,bom,aus,0.864173239490095
midway-050a-usa-uhslc,28.217,-177.367,469,uhslc,usa,0.865893856458481
calumet_harbor_il-9087044-usa-noaa,41.7297,-87.5383,470,noaa,usa,0.866642755109452
vardo-805a-nor-uhslc,70.333,31.1,471,uhslc,nor,0.8673765987373534
faraday-700a-ata-uhslc,-65.25,-64.267,472,uhslc,ata,0.8688176442468506
baltra-003b-ecu-uhslc,-0.437,-90.285,473,uhslc,ecu,0.8697708831974014
weymouth-wey-gbr-cmems,50.6079,-2.4465,474,cmems,gbr,0.8698958966841871
parry_sound_ontario-11375-can-meds,45.34,-80.04,475,meds,can,0.8723162497801564
crookhaven_heads-215408-aus-bom,-34.9066,150.7592,476,bom,aus,0.8732881977967638
bishops_head-8571421-usa-noaa,38.2204,-76.0387,477,noaa,usa,0.8739639245722071
seward-9455090-usa-noaa,60.12,-149.4267,478,noaa,usa,0.8754656672401906
carnarvon-167a-aus-uhslc,-24.898,113.652,479,uhslc,aus,0.8761784226282875
marseille-824a-fra-uhslc,43.278,5.353,480,uhslc,fra,0.8775448707722363
stornoway-295a-gbr-uhslc,58.208,-6.388,481,uhslc,gbr,0.877773765334271
soma-gs18-jpn-jodc_giaj,37.8306,140.9617,482,jodc_giaj,jpn,0.8803709329885965
